municipio,codigo_ibge,mesorregiao,populacao,renda_per_capita,lat,lon,tem_museu,tem_teatro_sala_espetaculo,tem_cinema,tem_biblioteca,n_equipamentos
Umirim,2313757,Norte Cearense,17470,558.68,-3.6755618981,-39.3423844043,True,False,False,True,2
Catarina,2303600,Sertões Cearenses,10243,715.33,-6.1275562908,-39.8794662283,False,False,False,True,1
Pindoretama,2310852,Norte Cearense,23391,794.0,-4.0278039927,-38.3000879763,True,True,False,True,3
Itapiúna,2306504,Norte Cearense,17841,597.58,-4.5547401747,-38.9206739559,False,False,False,True,1
Cariús,2303303,Centro-Sul Cearense,17015,681.18,-6.5311279379,-39.4976886801,False,False,False,True,1
Icapuí,2305357,Jaguaribe,21433,824.14,-4.7155494878,-37.3535630986,False,True,False,True,2
Cariré,2303105,Noroeste Cearense,17632,608.07,-3.95161188,-40.4738448077,True,False,False,True,2
Madalena,2307635,Sertões Cearenses,16896,656.35,-4.8524341766,-39.5757886826,False,False,False,True,1
Jaguaretama,2306702,Jaguaribe,17232,744.65,-5.6108895632,-38.7625262979,True,True,False,True,3
Solonópole,2313005,Sertões Cearenses,18179,788.81,-5.726351291,-39.0082249132,False,False,False,True,1
Varjota,2313955,Noroeste Cearense,18105,702.29,-4.1828222828,-40.4789932741,False,False,False,True,1
Banabuiú,2301851,Sertões Cearenses,17195,740.46,-5.315047304,-38.9257848049,False,False,False,True,1
Santana do Cariri,2312106,Sul Cearense,16954,597.15,-7.1808977833,-39.7379797815,True,False,False,True,2
Croatá,2304236,Noroeste Cearense,17481,576.04,-4.4140572655,-40.9090450982,False,False,False,True,1
Capistrano,2302909,Norte Cearense,17254,612.32,-4.4598966121,-38.9018287595,True,False,False,True,2
Jijoca de Jericoacoara,2307254,Noroeste Cearense,25555,968.32,-2.8996827089,-40.4387354019,False,True,False,True,2
Tejuçuoca,2313351,Norte Cearense,17154,554.86,-3.9897118086,-39.5768263617,True,False,False,True,2
Carnaubal,2303402,Noroeste Cearense,17210,654.73,-4.1639885624,-40.9356315773,False,False,False,True,1
Monsenhor Tabosa,2308609,Sertões Cearenses,17149,705.32,-4.7830912915,-40.0700674616,True,False,False,True,2
Alto Santo,2300705,Jaguaribe,14155,803.58,-5.5220817397,-38.2727781487,False,False,False,True,1
